epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
180,1081.65,1.00933,0.77411,1.56754,0.96744,0.97183,0.97956,0.79789,0.82733,0.65547,1.67031,0.0002279,0.0002279,0.0002279
181,1088.29,0.99383,0.86418,1.6213,0.96845,0.97183,0.98121,0.80876,0.77186,0.63906,1.61637,0.000218,0.000218,0.000218
182,1093.89,1.02554,0.802,1.60966,0.97034,0.97183,0.98072,0.81071,0.75929,0.63284,1.59361,0.0002081,0.0002081,0.0002081
183,1099.85,1.01828,0.80745,1.66381,0.97034,0.97183,0.98072,0.81071,0.75929,0.63284,1.59361,0.0001982,0.0001982,0.0001982
184,1105.64,1.10861,0.93144,1.69521,0.95853,0.97678,0.98637,0.82286,0.75862,0.63398,1.58796,0.0001883,0.0001883,0.0001883
185,1111.64,1.0011,0.75132,1.56861,0.96905,0.97183,0.98495,0.81883,0.76753,0.63383,1.59329,0.0001784,0.0001784,0.0001784
186,1117.83,0.97846,0.77248,1.60031,0.97034,0.97183,0.98354,0.80665,0.77776,0.63174,1.60455,0.0001685,0.0001685,0.0001685
187,1123.47,0.99338,0.74884,1.57223,0.97034,0.97183,0.98354,0.80665,0.77776,0.63174,1.60455,0.0001586,0.0001586,0.0001586
188,1129.89,1.00229,0.78031,1.61096,0.96685,0.97183,0.9828,0.80394,0.78362,0.62758,1.60481,0.0001487,0.0001487,0.0001487
189,1135.28,1.01046,0.77109,1.62829,0.96846,0.97183,0.98297,0.80027,0.77217,0.62533,1.59734,0.0001388,0.0001388,0.0001388
190,1141.69,1.11346,0.91268,1.72662,0.9718,0.97058,0.98235,0.80559,0.76093,0.62791,1.59572,0.0001289,0.0001289,0.0001289
191,1150.89,0.94716,0.79925,1.57788,0.9718,0.97058,0.98235,0.80559,0.76093,0.62791,1.59572,0.000119,0.000119,0.000119
192,1157.74,1.20054,0.99967,1.82031,0.96828,0.97183,0.98057,0.80251,0.76748,0.63932,1.60302,0.0001091,0.0001091,0.0001091
193,1162.97,1.02497,0.90001,1.68401,0.96783,0.97183,0.97937,0.8067,0.77382,0.6486,1.60905,9.92e-05,9.92e-05,9.92e-05
194,1168.69,1.07411,0.93714,1.70856,0.97213,0.9827,0.98172,0.80578,0.78636,0.65391,1.60813,8.93e-05,8.93e-05,8.93e-05
195,1174.13,0.9577,0.83933,1.57113,0.97213,0.9827,0.98172,0.80578,0.78636,0.65391,1.60813,7.94e-05,7.94e-05,7.94e-05
196,1179.59,1.01393,0.82539,1.61731,0.96848,0.97183,0.98142,0.80628,0.78374,0.66603,1.60797,6.95e-05,6.95e-05,6.95e-05
197,1185.37,0.95778,0.81081,1.60994,0.97217,0.98416,0.98135,0.80349,0.78306,0.6727,1.60028,5.96e-05,5.96e-05,5.96e-05
198,1190.72,0.97403,0.85032,1.55918,0.97219,0.98493,0.9814,0.80375,0.77691,0.67183,1.59442,4.97e-05,4.97e-05,4.97e-05
199,1196.12,0.93069,0.80116,1.57245,0.97219,0.98493,0.9814,0.80375,0.77691,0.67183,1.59442,3.98e-05,3.98e-05,3.98e-05
200,1202.09,1.02467,0.87296,1.62294,0.97114,0.98592,0.981,0.80921,0.77308,0.67831,1.59121,2.99e-05,2.99e-05,2.99e-05
