epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,259.732,2.28319,2.33697,2.68213,0.60168,0.4681,0.48614,0.23902,1.66093,2.085,2.41495,0.0015941,0.0015941,0.0015941
43,265.487,2.11276,2.21243,2.60311,0.60168,0.4681,0.48614,0.23902,1.66093,2.085,2.41495,0.0015842,0.0015842,0.0015842
44,271.268,2.12095,2.19,2.56814,0.43583,0.52113,0.45431,0.24113,1.6523,1.9687,2.40808,0.0015743,0.0015743,0.0015743
45,277.098,2.09052,2.31168,2.5559,0.58561,0.57721,0.55361,0.2899,1.69869,2.00225,2.4198,0.0015644,0.0015644,0.0015644
46,283.611,2.02553,2.13863,2.5379,0.52772,0.50704,0.49798,0.26373,1.68041,2.61471,2.43515,0.0015545,0.0015545,0.0015545
47,289.99,2.02457,2.06401,2.42316,0.52772,0.50704,0.49798,0.26373,1.68041,2.61471,2.43515,0.0015446,0.0015446,0.0015446
48,295.729,2.07264,2.06556,2.51396,0.51693,0.50704,0.4999,0.29363,1.59689,2.7714,2.35661,0.0015347,0.0015347,0.0015347
49,302.102,1.97515,2.00933,2.52068,0.64114,0.50704,0.53867,0.31802,1.6487,2.46727,2.39033,0.0015248,0.0015248,0.0015248
50,307.733,1.97198,2.01641,2.47645,0.45726,0.61972,0.50034,0.25588,1.6053,2.31334,2.3748,0.0015149,0.0015149,0.0015149
51,313.476,1.94225,1.98476,2.48964,0.45726,0.61972,0.50034,0.25588,1.6053,2.31334,2.3748,0.001505,0.001505,0.001505
52,319.366,1.92698,1.93231,2.47305,0.69636,0.51686,0.62474,0.34323,1.54715,1.82704,2.31724,0.0014951,0.0014951,0.0014951
53,325.38,2.09042,2.07079,2.51016,0.705,0.60588,0.69558,0.40013,1.4887,1.71704,2.27874,0.0014852,0.0014852,0.0014852
54,332.004,1.98086,1.95969,2.47087,0.57006,0.76056,0.65894,0.32736,1.54924,1.80036,2.33509,0.0014753,0.0014753,0.0014753
55,337.552,1.89243,1.83969,2.39663,0.57006,0.76056,0.65894,0.32736,1.54924,1.80036,2.33509,0.0014654,0.0014654,0.0014654
56,343.693,1.91762,1.89989,2.37724,0.54068,0.6466,0.58695,0.28554,1.71384,1.90885,2.43029,0.0014555,0.0014555,0.0014555
57,349.332,1.84455,1.85971,2.40374,0.50307,0.57746,0.63618,0.3387,1.70363,1.69166,2.42679,0.0014456,0.0014456,0.0014456
58,355.247,1.86711,1.85426,2.3542,0.54701,0.66197,0.63918,0.33133,1.73789,1.65961,2.45568,0.0014357,0.0014357,0.0014357
59,361.319,1.82494,1.83511,2.39812,0.54701,0.66197,0.63918,0.33133,1.73789,1.65961,2.45568,0.0014258,0.0014258,0.0014258
60,367.326,1.79918,1.86247,2.39926,0.70456,0.69014,0.72343,0.4319,1.64019,1.60226,2.39337,0.0014159,0.0014159,0.0014159
61,373.678,1.82394,1.88746,2.36487,0.7204,0.72584,0.76884,0.48406,1.566,1.66662,2.34611,0.001406,0.001406,0.001406
62,379.462,1.81757,1.75065,2.3156,0.65133,0.81563,0.75488,0.41836,1.67877,1.63115,2.40904,0.0013961,0.0013961,0.0013961
63,385.224,1.80975,1.77494,2.32722,0.65133,0.81563,0.75488,0.41836,1.67877,1.63115,2.40904,0.0013862,0.0013862,0.0013862
64,391.039,1.88173,2.07111,2.40368,0.64025,0.80212,0.78203,0.48838,1.59857,1.34877,2.33206,0.0013763,0.0013763,0.0013763
65,396.93,1.81167,1.70071,2.32611,0.68024,0.74909,0.76341,0.47503,1.6008,1.46672,2.35977,0.0013664,0.0013664,0.0013664
66,403.462,1.78348,1.72094,2.31029,0.66449,0.6338,0.73138,0.45916,1.6024,1.55347,2.35465,0.0013565,0.0013565,0.0013565
67,408.881,1.75801,1.74215,2.30609,0.66449,0.6338,0.73138,0.45916,1.6024,1.55347,2.35465,0.0013466,0.0013466,0.0013466
68,415.006,1.81133,1.68089,2.30652,0.55552,0.72176,0.72275,0.46167,1.441,1.42754,2.24276,0.0013367,0.0013367,0.0013367
69,420.594,1.78267,1.6903,2.30544,0.68153,0.6338,0.76329,0.50984,1.40528,1.3952,2.25773,0.0013268,0.0013268,0.0013268
70,426.639,1.76462,1.66931,2.33992,0.7772,0.59155,0.73051,0.39207,1.79897,1.49563,2.5657,0.0013169,0.0013169,0.0013169
71,432.589,1.81963,1.59497,2.27084,0.7772,0.59155,0.73051,0.39207,1.79897,1.49563,2.5657,0.001307,0.001307,0.001307
72,439.126,1.76395,1.63071,2.32074,0.80844,0.65392,0.78837,0.45487,1.73111,1.3822,2.5097,0.0012971,0.0012971,0.0012971
73,445.592,1.88341,1.69839,2.31585,0.66157,0.71831,0.7272,0.43122,1.5036,1.47695,2.33358,0.0012872,0.0012872,0.0012872
74,451.496,1.71949,1.55253,2.24192,0.5917,0.89811,0.72629,0.41993,1.56606,1.72206,2.3326,0.0012773,0.0012773,0.0012773
75,457.488,1.80633,1.72687,2.29506,0.5917,0.89811,0.72629,0.41993,1.56606,1.72206,2.3326,0.0012674,0.0012674,0.0012674
76,463.469,1.68638,1.51295,2.2289,0.70875,0.74648,0.79493,0.53303,1.38265,1.74335,2.17754,0.0012575,0.0012575,0.0012575
77,469.528,1.69631,1.58645,2.27836,0.85058,0.52113,0.7482,0.53444,1.37733,1.68729,2.18075,0.0012476,0.0012476,0.0012476
78,475.472,1.62065,1.44557,2.18218,0.73299,0.6338,0.76435,0.51757,1.36971,1.50981,2.17744,0.0012377,0.0012377,0.0012377
79,481.168,1.62042,1.49406,2.16466,0.73299,0.6338,0.76435,0.51757,1.36971,1.50981,2.17744,0.0012278,0.0012278,0.0012278
80,487.758,1.66141,1.46072,2.16946,0.6161,0.85915,0.79589,0.54714,1.31744,1.44556,2.13632,0.0012179,0.0012179,0.0012179
81,493.288,1.65994,1.5469,2.22237,0.78603,0.7761,0.88132,0.62933,1.2471,1.33285,2.09178,0.001208,0.001208,0.001208
82,500.036,1.60066,1.49695,2.16418,0.79869,0.84507,0.90104,0.65567,1.20986,1.31378,2.09396,0.0011981,0.0011981,0.0011981
